lng,lat
-122.4106711,37.80042926
-122.4017709,37.79155839
-122.4094053,37.78357026
-122.4274636,37.7806195
-122.4235604,37.77749242
-122.4550786,37.78771101
-122.4411492,37.78728478
-122.4539298,37.78431944
-122.4551801,37.77901854
-122.4560322,37.77860924
-122.4547418,37.77572476
-122.4437265,37.77829906
-122.4370713,37.77770672
-122.4367839,37.77688516
-122.4395542,37.77648096
-122.4498975,37.77481824
-122.4542648,37.76642804
-122.4482339,37.76663707
-122.4812754,37.7868649
-122.4649875,37.78694212
-122.4607642,37.78819296
-122.4605795,37.78576502
-122.4621713,37.78616178
-122.4693529,37.78147839
-122.4865791,37.78062979
-122.4874677,37.78045208
-122.4859641,37.77852443
-122.4843524,37.77935404
-122.4779368,37.77985127
-122.4896649,37.77767213
-122.5029305,37.77573744
-122.5012159,37.77477122
-122.4931713,37.77417673
-122.4727488,37.77447661
-122.4855995,37.77313681
-122.4903868,37.77367496
-122.4976968,37.77220646
-122.4861,37.76420476
-122.4669754,37.76238077
-122.4687008,37.76230998
-122.4730828,37.76304472
-122.4754169,37.76339192
-122.4805159,37.76189429
-122.4871993,37.76287041
-122.5009495,37.76140385
-122.4718122,37.76097201
-122.4637474,37.76213793
-122.5059531,37.75702676
-122.5020856,37.7563662
-122.4816889,37.75609895
-122.472275,37.75495669
-122.4703719,37.75737889
-122.3653036,37.81082228
-122.3702495,37.81110254
-122.3712483,37.81542173
-122.3682485,37.81171482
-122.3638897,37.81351607
-122.3722788,37.81021355
-122.3745782,37.82823259
-122.5058202,37.7541999
-122.47515,37.75534003
-122.4686225,37.75569831
-122.4693663,37.75293825
-122.4746293,37.75383405
-122.4862154,37.75208363
-122.4837136,37.75017996
-122.4709596,37.74902653
-122.4982212,37.74594201
-122.4470753,37.7522625
-122.4491237,37.74960225
-122.4467491,37.75455353
-122.4458731,37.75521079
-122.441105,37.75312939
-122.4591304,37.74290037
-122.4421049,37.72870948
-122.4188015,37.77156378
-122.4188015,37.77156378
-122.4188015,37.77156378
-122.4188015,37.77156378
-122.3938851,37.78452535
-122.395159,37.78154037
-122.3860748,37.75916228
-122.3917402,37.75538436
-122.3994005,37.75232641
-122.4046898,37.75145178
-122.3900405,37.75024432
-122.3874442,37.74660561
-122.3686153,37.73486175
-122.3681325,37.73492522
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3670002,37.72329296
-122.3719274,37.72838072
-122.3785861,37.73538901
-122.3785861,37.73538902
-122.3762119,37.73146536
-122.3846732,37.7349738
-122.3870429,37.71956315
-122.3871941,37.71972779
-122.3792061,37.7109753
-122.3923313,37.71462431
-122.3960037,37.71189061
-122.3886055,37.71192889
-122.3880873,37.71117716
-122.3880873,37.71117716
-122.3880873,37.71117716
-122.3880873,37.71117716
-122.3886055,37.71192889
-122.3880873,37.71117716
-122.3880873,37.71117716
-122.3880873,37.71117716
-122.3880873,37.71117716
-122.3899825,37.70858136
-122.3859214,37.71433163
-122.3979563,37.71717188
-122.3860574,37.71419299
-122.394936,37.73913309
-122.4040317,37.74944836
-122.4057545,37.7436845
-122.4092203,37.73398645
-122.41872,37.75199197
-122.4575702,37.71577016
-122.4925215,37.72188996
-122.4775397,37.72977115
-122.4725906,37.71380293
-122.4748157,37.71502827
-122.4404713,37.7479851
-122.442209,37.74649185
-122.4362642,37.74320295
-122.4148824,37.79362109
-122.3658801,37.8110504
-122.3987602,37.71322828
-122.4148824,37.79362109
-122.4262782,37.7914426
-122.4215375,37.80585829
-122.4195642,37.80611004
-122.4722411,37.77966018
-122.4080565,37.80679108
-122.4721063,37.7777985
-122.4195642,37.80611004
-122.4201279,37.80588164
-122.4958139,37.76180452
-122.4956832,37.75994099
-122.4955516,37.75807412
-122.4954251,37.75620896
-122.3684106,37.81103283
-122.4201279,37.80588164
-122.4201279,37.80588164
-122.4207621,37.80633843
-122.4207473,37.80626521
-122.4207326,37.80619199
-122.4206927,37.8061248
-122.4205827,37.80587292
-122.4206844,37.80585989
-122.4207787,37.80588447
-122.4207961,37.80604157
-122.4209565,37.80586186
-122.4208676,37.80587317
-122.4216549,37.80584323
-122.4219064,37.80619402
-122.4216715,37.80622437
-122.4209502,37.8063176
-122.420785,37.80645165
-122.4213405,37.80626715
-122.4210612,37.80630325
-122.421856,37.80593162
-122.4218142,37.80574545
-122.4210608,37.80591942
-122.4211496,37.80590797
-122.4213303,37.80588486
-122.4952911,37.75435648
-122.4945085,37.74315807
-122.4943779,37.7412903
-122.4942476,37.73942685
-122.4212385,37.80589663
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3804676,37.73343883
-122.3873985,37.71987189
-122.4372538,37.73389623
-122.4372538,37.73389623
-122.4372538,37.73389623
-122.4372538,37.73389623
-122.4372538,37.73389623
-122.4372538,37.73389623
-122.4372538,37.73389623
-122.4372538,37.73389623
-122.4372538,37.73389623
-122.4372538,37.73389623
-122.4372538,37.73389623
-122.4372538,37.73389623
-122.4372538,37.73389623
-122.4372538,37.73389623
-122.4372538,37.73389623
-122.4372538,37.73389623
-122.4372538,37.73389623
-122.4372538,37.73389623
-122.4372538,37.73389623
-122.4372538,37.73389623
-122.4719436,37.7240934
-122.4787587,37.72636405
-122.4935397,37.7314227
-122.4216048,37.80867794
-122.4204986,37.80872964
-122.4150833,37.80850825
-122.4167434,37.80843223
-122.4183803,37.80834855
-122.4200045,37.8081596
-122.4194708,37.80727798
-122.4212385,37.80589663
-122.4201743,37.8071748
-122.4185373,37.8073893
-122.4178293,37.80747932
-122.4160999,37.80788747
-122.41587,37.80753424
-122.4160335,37.80751265
-122.416661,37.80743451
-122.4171359,37.80776123
-122.4168794,37.80779279
-122.4166741,37.80781803
-122.4164599,37.80784327
-122.4143001,37.80818142
-122.4148507,37.80765816
-122.4153208,37.80759926
-122.4154604,37.80796672
-122.4152253,37.80799617
-122.4150757,37.8080149
-122.4143485,37.80774256
-122.4145131,37.80761358
-122.4146429,37.80806094
-122.4132503,37.80805367
-122.4116804,37.80812834
-122.4103551,37.8081054
-122.4085181,37.80753076
-122.4095721,37.80774727
-122.4102403,37.80747117
-122.4094983,37.80737455
-122.411411,37.80732751
-122.4130581,37.80712311
-122.4147028,37.80691269
-122.4159164,37.80695498
-122.4212385,37.80589663
-122.416827,37.80673842
-122.4167952,37.80636615
-122.4158355,37.80658715
-122.4163429,37.80670367
-122.4175567,37.80678436
-122.4180127,37.80681797
-122.4177553,37.80665676
-122.4180709,37.80643398
-122.4190797,37.80665898
-122.4189202,37.80610162
-122.4191578,37.8060738
-122.4192366,37.80607187
-122.4193142,37.80606197
-122.4196425,37.80610005
-122.41976,37.80608505
-122.4215375,37.80585829
-122.4199135,37.80601331
-122.4201279,37.80588164
-122.4201416,37.80594943
-122.4201553,37.80601723
-122.420169,37.80608502
-122.4201177,37.8062654
-122.4196349,37.80660868
-122.4195847,37.80652951
-122.4195433,37.80646326
-122.4194948,37.80640567
-122.4194047,37.80638648
-122.4193257,37.80634753
-122.4192834,37.80628234
-122.4192083,37.80625176
-122.4215375,37.80585829
-122.4190475,37.80615945
-122.4199771,37.80648531
-122.4195642,37.80611004
-122.4194859,37.80612003
-122.4693164,37.78721795
-122.4726584,37.78537925
-122.4725166,37.78351398
-122.4723819,37.78164871
-122.4719735,37.77593585
-122.4718408,37.77407182
-122.4810263,37.76906759
-122.4959423,37.76373864
-122.4951595,37.75247027
-122.4950301,37.75061525
-122.4948975,37.74875159
-122.4947672,37.74688451
-122.4946389,37.74502137
-122.4941237,37.73755807
-122.4939945,37.73581436
-122.4194076,37.80613003
-122.4194076,37.80613003
-122.4194076,37.80613003
-122.4194076,37.80613003
-122.4194859,37.80612003
-122.4194859,37.80612003
-122.4194859,37.80612003
-122.4190779,37.80608918
-122.4190779,37.80608918
-122.4190779,37.80608918
-122.4195642,37.80611004
-122.4939024,37.73445921
-122.3916719,37.75803741
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.3714307,37.72900897
-122.4215375,37.80585829
-122.4215375,37.80585829
-122.4215375,37.80585829
-122.4215375,37.80585829
-122.4210608,37.80591942
-122.4210608,37.80591942
-122.4210608,37.80591942
-122.4214275,37.8058724
-122.4214275,37.8058724
-122.4214275,37.8058724
-122.4211496,37.80590797
-122.4211496,37.80590797
-122.4211496,37.80590797
-122.4205769,37.80531239
-122.4205335,37.80525539
-122.4204962,37.8051615
-122.4204844,37.80510239
-122.4204719,37.80504093
-122.42045,37.80493293
-122.4206242,37.80500309
-122.420804,37.80499788
-122.4209014,37.80498571
-122.4210698,37.8049647
-122.4211668,37.80495252
-122.4212586,37.80494113
-122.4213433,37.80493209
-122.4214605,37.8048492
-122.4216528,37.80482519
-122.4216041,37.80498682
-122.4216004,37.80505345
-122.4215062,37.8052889
-122.4214208,37.80529974
-122.4213353,37.80531043
-122.4216818,37.80518647
-122.4216962,37.80525416
-122.4217206,37.80536892
-122.4212464,37.80532156
-122.421154,37.80533328
-122.4210532,37.80534598
-122.4207814,37.80538028
-122.4206886,37.80492469
-122.4207225,37.8050915
-122.4205965,37.80547351
-122.4209557,37.80535826
-122.4208703,37.80536903
-122.4209813,37.80497574
-122.4209813,37.80497574
-122.4209813,37.80497574
-122.4216667,37.80511607
-122.4216667,37.80511607
-122.4208251,37.80510212
-122.4207878,37.80491841
-122.4204571,37.80496795
-122.4204414,37.80489068
-122.421825,37.80535577
-122.4217276,37.80536805
-122.4216233,37.80538119
-122.4207878,37.80491841
-122.4207878,37.80491841
-122.4207878,37.80491841
-122.421825,37.80535577
-122.421825,37.80535577
-122.4217276,37.80536805
-122.4217276,37.80536805
-122.4217276,37.80536805
-122.4216233,37.80538119
-122.4216233,37.80538119
-122.4216233,37.80538119
-122.4204571,37.80496795
-122.4204571,37.80496795
-122.4204571,37.80496795
-122.4208703,37.80536903
-122.4208703,37.80536903
-122.4208703,37.80536903
-122.4205965,37.80547351
-122.4205965,37.80547351
